"Chronic Absenteeism, Trend"
", Gender"

"",,,"% Chronically Absent",,,,
"Common Ground High School District","=""2680013""","Male",12.2,10.6,14.9,12.5,7.8
"Connecticut Technical High School System","=""9000016""","Female",13.3,15.1,16.2,17.5,16.8
"Connecticut Technical High School System","=""9000016""","Male",8.3,10.2,10.8,11.2,9.9
"Cooperative Educational Services","=""2430014""","Female",16.7,15.8,11.8,15.6,14.2
"Cooperative Educational Services","=""2430014""","Male",17.1,20.1,18.2,20.9,17.8
"Cornwall School District","=""0310011""","Female",12.0,"*","*",0.0,"*"
"Cornwall School District","=""0310011""","Male",0.0,"*",0.0,"*","*"
"Coventry School District","=""0320011""","Female",6.9,6.2,4.9,6.6,6.0
"Coventry School District","=""0320011""","Male",5.4,7.7,5.9,7.2,5.1
"Cromwell School District","=""0330011""","Female",6.2,5.1,5.8,2.9,1.5
"Cromwell School District","=""0330011""","Male",6.3,4.2,5.3,3.0,1.9
"Danbury School District","=""0340011""","Female",11.5,10.1,5.7,6.6,6.8
"Danbury School District","=""0340011""","Male",13.5,11.8,6.4,7.6,7.9
"Darien School District","=""0350011""","Female",4.2,3.2,3.8,3.8,2.8
"Darien School District","=""0350011""","Male",4.0,3.9,3.4,4.7,3.0
"Deep River School District","=""0360011""","Female",4.8,4.6,"*","*","*"
"Deep River School District","=""0360011""","Male",6.3,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Female","*","*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*","*","*","*","*"
"Derby School District","=""0370011""","Female",13.2,12.9,15.3,16.0,12.3
"Derby School District","=""0370011""","Male",13.1,15.7,17.4,17.4,13.7
"East Granby School District","=""0400011""","Female",6.8,6.4,5.7,5.9,5.5
"East Granby School District","=""0400011""","Male",3.8,7.5,5.6,8.4,6.5
"East Haddam School District","=""0410011""","Female",8.9,8.0,6.6,7.2,5.9
"East Haddam School District","=""0410011""","Male",6.8,7.2,6.9,6.3,6.7
"East Hampton School District","=""0420011""","Female",6.6,5.9,6.9,7.6,6.7
"East Hampton School District","=""0420011""","Male",5.2,5.9,7.1,7.5,8.1
"East Hartford School District","=""0430011""","Female",9.4,17.4,10.4,14.8,11.6
"East Hartford School District","=""0430011""","Male",10.3,20.4,15.3,17.2,14.1
"East Haven School District","=""0440011""","Female",17.6,16.5,13.3,11.7,10.5
"East Haven School District","=""0440011""","Male",17.1,15.6,11.3,10.7,9.9
"East Lyme School District","=""0450011""","Female",5.7,4.3,4.3,5.2,4.4
"East Lyme School District","=""0450011""","Male",6.2,5.5,6.0,6.2,4.9
"East Windsor School District","=""0470011""","Female",11.6,10.8,11.8,12.4,13.0
"East Windsor School District","=""0470011""","Male",12.0,10.0,9.9,8.7,11.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",22.1,72.1,13.5,32.2,38.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",18.2,68.3,13.2,32.3,28.5
"Eastford School District","=""0390011""","Female","*",8.0,"*","*","*"
"Eastford School District","=""0390011""","Male","*","*","*","*","*"
"Easton School District","=""0460011""","Female",5.0,3.5,2.5,2.6,1.4
"Easton School District","=""0460011""","Male",3.4,3.0,2.2,2.5,1.9
"Education Connection","=""2420014""","Female","*","*","*","*","*"
"Education Connection","=""2420014""","Male",45.5,"*","*","*","*"
"Ellington School District","=""0480011""","Female",5.1,6.1,3.8,4.7,3.5
"Ellington School District","=""0480011""","Male",3.7,5.2,3.8,4.4,5.0
"Elm City College Preparatory School District","=""2890013""","Female",2.3,4.2,5.1,4.8,4.9
"Elm City College Preparatory School District","=""2890013""","Male","*",2.6,4.0,4.2,6.8
"Elm City Montessori School District","=""2910013""","Female","N/A","N/A","N/A","*","*"
"Elm City Montessori School District","=""2910013""","Male","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Female",12.4,11.5,11.8,11.8,11.9
"Enfield School District","=""0490011""","Male",11.0,11.4,12.1,12.1,11.9
"Essex School District","=""0500011""","Female",3.1,"*","*","*",3.9
"Essex School District","=""0500011""","Male",2.6,"*",3.3,3.8,"*"
"Explorations District","=""2720013""","Female",28.1,47.4,24.3,28.8,30.9
"Explorations District","=""2720013""","Male","*",31.6,33.3,27.6,30.0
"Fairfield School District","=""0510011""","Female",5.4,3.6,3.8,4.1,3.9
"Fairfield School District","=""0510011""","Male",4.9,3.3,3.4,3.4,3.7
"Farmington School District","=""0520011""","Female",5.4,6.2,5.5,5.5,3.8
"Farmington School District","=""0520011""","Male",5.6,7.6,7.2,6.2,5.2
"Franklin School District","=""0530011""","Female","*",12.6,"*","*","*"
"Franklin School District","=""0530011""","Male","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Female",3.7,3.3,3.0,2.6,2.5
"Glastonbury School District","=""0540011""","Male",3.1,3.3,2.6,3.5,2.9
"Granby School District","=""0560011""","Female",5.4,4.7,5.0,5.8,5.2
"Granby School District","=""0560011""","Male",3.9,4.7,5.0,3.7,5.1
"Great Oaks Charter School District","=""2940013""","Female","N/A","N/A","N/A",14.5,13.5
"Great Oaks Charter School District","=""2940013""","Male","N/A","N/A","N/A",28.8,16.7
"Greenwich School District","=""0570011""","Female",5.6,8.2,5.0,3.2,3.9
"Greenwich School District","=""0570011""","Male",5.7,7.9,4.4,3.2,3.7
"Griswold School District","=""0580011""","Female",11.3,10.2,9.6,10.0,8.8
"Griswold School District","=""0580011""","Male",11.6,11.0,11.5,10.8,9.4
"Groton School District","=""0590011""","Female",12.4,12.4,10.6,10.2,10.5
"Groton School District","=""0590011""","Male",14.4,12.4,13.0,12.5,11.7
"Guilford School District","=""0600011""","Female",6.0,6.3,6.0,4.9,4.2
"Guilford School District","=""0600011""","Male",6.6,7.7,5.9,4.8,5.0
"Hamden School District","=""0620011""","Female",12.6,14.1,13.7,15.3,18.9
"Hamden School District","=""0620011""","Male",13.6,15.9,15.1,14.1,17.9
"Hampton School District","=""0630011""","Female","*","*","*","*","*"
"Hampton School District","=""0630011""","Male","*","*","*","*","*"
"Hartford School District","=""0640011""","Female",24.9,24.3,25.8,24.8,21.3
"Hartford School District","=""0640011""","Male",27.1,25.5,27.4,26.5,23.3
"Hartland School District","=""0650011""","Female","*","*","*","*","*"
"Hartland School District","=""0650011""","Male","*",7.5,"*","*","*"
"Hebron School District","=""0670011""","Female",3.4,3.7,2.3,2.2,"*"
"Hebron School District","=""0670011""","Male",4.0,3.2,1.9,2.1,1.6
"Highville Charter School District","=""2860013""","Female",3.9,5.9,"*",6.1,7.3
"Highville Charter School District","=""2860013""","Male",5.0,5.6,"*",7.1,6.7
"Integrated Day Charter School District","=""2640013""","Female",6.0,6.4,4.9,4.1,"*"
"Integrated Day Charter School District","=""2640013""","Male",7.6,8.7,7.3,6.7,5.3
"Interdistrict School for Arts and Comm District","=""2650013""","Female","*",11.4,10.8,10.3,6.2
"Interdistrict School for Arts and Comm District","=""2650013""","Male",13.6,7.5,11.8,14.2,8.3
"Jumoke Academy District","=""2610013""","Female",3.1,5.7,5.4,8.1,5.9
"Jumoke Academy District","=""2610013""","Male","*",6.5,7.1,7.5,6.8
"Kent School District","=""0680011""","Female",4.9,"*","*","*","*"
"Kent School District","=""0680011""","Male",8.5,4.2,4.1,"*","*"
"Killingly School District","=""0690011""","Female",15.1,16.2,11.9,9.7,11.2
"Killingly School District","=""0690011""","Male",13.3,16.1,13.6,9.8,11.4
"Learn","=""2450014""","Female",15.5,36.5,19.0,18.3,11.5
"Learn","=""2450014""","Male",13.5,26.6,13.2,13.4,8.7
"Lebanon School District","=""0710011""","Female",10.7,15.1,9.2,8.0,6.3
"Lebanon School District","=""0710011""","Male",9.2,10.4,6.2,7.2,6.6
"Ledyard School District","=""0720011""","Female",8.5,8.4,5.5,3.6,7.6
"Ledyard School District","=""0720011""","Male",7.9,8.4,5.8,3.6,6.9
"Lisbon School District","=""0730011""","Female",8.0,7.3,"*",5.4,4.5
"Lisbon School District","=""0730011""","Male",4.5,8.2,6.5,7.4,5.5
"Litchfield School District","=""0740011""","Female",6.8,8.3,7.5,6.1,6.7
"Litchfield School District","=""0740011""","Male",6.9,7.4,7.3,6.5,11.3
"Madison School District","=""0760011""","Female",4.4,3.6,2.7,3.3,2.0
"Madison School District","=""0760011""","Male",3.8,3.6,1.9,2.5,1.8
"Manchester School District","=""0770011""","Female",21.1,12.8,12.1,12.9,14.5
"Manchester School District","=""0770011""","Male",21.1,13.7,12.7,13.6,14.4
"Mansfield School District","=""0780011""","Female",5.9,7.3,3.5,4.6,5.2
"Mansfield School District","=""0780011""","Male",4.3,4.8,4.7,5.1,4.8
"Marlborough School District","=""0790011""","Female",2.8,3.7,2.5,4.9,3.3
"Marlborough School District","=""0790011""","Male",5.4,3.5,"*",5.1,3.8
"Meriden School District","=""0800011""","Female",12.0,15.6,14.9,16.5,12.4
"Meriden School District","=""0800011""","Male",12.5,16.7,15.9,16.6,13.0
"Middletown School District","=""0830011""","Female",11.6,11.1,10.4,9.4,8.2
"Middletown School District","=""0830011""","Male",11.4,11.4,9.8,9.7,9.9
"Milford School District","=""0840011""","Female",9.7,12.2,10.8,8.5,7.4
"Milford School District","=""0840011""","Male",11.0,13.3,10.6,8.5,7.2
"Monroe School District","=""0850011""","Female",7.0,6.8,4.4,3.3,2.9
"Monroe School District","=""0850011""","Male",5.6,5.4,3.5,2.3,2.2
"Montville School District","=""0860011""","Female",8.1,6.8,6.5,6.2,6.1
"Montville School District","=""0860011""","Male",8.2,7.1,7.4,6.7,6.8
"Naugatuck School District","=""0880011""","Female",12.9,14.7,13.1,9.9,12.4
"Naugatuck School District","=""0880011""","Male",12.5,13.2,14.1,11.9,10.4
"New Beginnings Inc., Family Academy District","=""2800013""","Female",6.9,10.7,9.1,17.3,9.8
"New Beginnings Inc., Family Academy District","=""2800013""","Male",9.6,7.8,10.5,16.8,5.0
"New Britain School District","=""0890011""","Female",27.4,25.0,19.7,20.7,17.6
"New Britain School District","=""0890011""","Male",25.9,24.3,18.7,20.6,18.3
"New Canaan School District","=""0900011""","Female",9.9,4.5,2.6,2.7,2.7
"New Canaan School District","=""0900011""","Male",8.2,4.1,2.9,2.9,2.2
"New Fairfield School District","=""0910011""","Female",7.6,5.9,5.0,2.8,3.1
"New Fairfield School District","=""0910011""","Male",8.1,6.0,4.0,3.0,3.1
"New Hartford School District","=""0920011""","Female",5.7,4.8,6.9,2.4,3.3
"New Hartford School District","=""0920011""","Male",3.9,4.0,3.9,3.0,4.0
"New Haven School District","=""0930011""","Female",19.7,15.7,24.2,25.1,19.9
"New Haven School District","=""0930011""","Male",20.7,16.5,25.1,26.1,20.0
"New London School District","=""0950011""","Female",25.4,18.9,20.6,18.4,18.0
"New London School District","=""0950011""","Male",26.2,20.2,23.4,17.2,17.2
"New Milford School District","=""0960011""","Female",10.4,9.1,9.0,6.1,5.6
"New Milford School District","=""0960011""","Male",10.4,9.9,8.6,6.7,5.5
"Newington School District","=""0940011""","Female",4.4,3.3,7.2,6.4,4.7
"Newington School District","=""0940011""","Male",5.2,3.9,6.9,6.6,5.3
"Newtown School District","=""0970011""","Female",2.9,4.9,4.5,3.7,4.8
"Newtown School District","=""0970011""","Male",2.6,5.1,4.3,3.8,4.2
"Norfolk School District","=""0980011""","Female","*","*","*",0.0,"*"
"Norfolk School District","=""0980011""","Male",15.8,20.6,"*","*",0.0
"North Branford School District","=""0990011""","Female",17.4,15.7,4.8,3.2,5.3
"North Branford School District","=""0990011""","Male",13.0,13.3,5.5,4.8,4.5
"North Canaan School District","=""1000011""","Female",11.7,13.0,7.9,"*",5.6
"North Canaan School District","=""1000011""","Male",14.1,16.8,4.3,8.0,5.7
"North Haven School District","=""1010011""","Female",7.4,10.1,8.7,18.7,3.7
"North Haven School District","=""1010011""","Male",7.5,9.7,9.1,16.3,4.4
"North Stonington School District","=""1020011""","Female",8.1,12.5,6.7,1.8,4.7
"North Stonington School District","=""1020011""","Male",10.6,10.2,7.4,1.9,3.9
"Norwalk School District","=""1030011""","Female",11.6,11.3,10.6,8.4,10.0
"Norwalk School District","=""1030011""","Male",11.7,11.8,11.0,8.2,10.4
"Norwich Free Academy District","=""9010022""","Female",11.7,12.6,33.0,16.4,11.5
"Norwich Free Academy District","=""9010022""","Male",9.6,10.2,28.8,14.0,10.3
"Norwich School District","=""1040011""","Female",14.0,13.2,15.0,12.2,9.1
"Norwich School District","=""1040011""","Male",14.7,13.7,14.8,14.5,10.3
"Odyssey Community School District","=""2630013""","Female",8.3,10.4,11.8,9.4,6.8
"Odyssey Community School District","=""2630013""","Male",9.6,8.5,11.5,5.3,"*"
"Old Saybrook School District","=""1060011""","Female",18.1,18.8,7.5,12.9,6.8
"Old Saybrook School District","=""1060011""","Male",13.6,13.5,4.7,10.4,5.9
"Orange School District","=""1070011""","Female",4.1,4.6,4.5,2.5,3.1
"Orange School District","=""1070011""","Male",3.9,4.6,5.4,3.8,3.2
"Oxford School District","=""1080011""","Female",6.4,9.4,8.7,8.2,7.8
"Oxford School District","=""1080011""","Male",5.6,6.7,7.4,6.4,5.9
"Park City Prep Charter School District","=""2830013""","Female",5.2,5.2,"*",6.3,"*"
"Park City Prep Charter School District","=""2830013""","Male",12.7,4.7,9.1,9.8,9.9
"Path Academy District","=""2930013""","Female","N/A","N/A","N/A",84.0,100.0
"Path Academy District","=""2930013""","Male","N/A","N/A","N/A",81.8,100.0
"Plainfield School District","=""1090011""","Female",12.1,10.9,12.1,8.6,10.5
"Plainfield School District","=""1090011""","Male",12.2,13.4,12.6,10.6,13.4
"Plainville School District","=""1100011""","Female",11.0,12.0,7.7,7.1,8.4
"Plainville School District","=""1100011""","Male",9.8,10.4,7.6,8.8,7.9
"Plymouth School District","=""1110011""","Female",6.9,9.0,9.0,12.4,11.2
"Plymouth School District","=""1110011""","Male",10.2,10.1,10.5,12.7,10.8
"Pomfret School District","=""1120011""","Female",2.6,3.6,"*","*","*"
"Pomfret School District","=""1120011""","Male",3.0,4.0,"*",4.8,3.3
"Portland School District","=""1130011""","Female",4.8,5.2,5.5,6.5,5.1
"Portland School District","=""1130011""","Male",4.2,6.6,5.3,8.3,7.0
"Preston School District","=""1140011""","Female","*",9.0,"*",7.0,3.4
"Preston School District","=""1140011""","Male",0.0,8.6,"*",9.8,5.9
"Putnam School District","=""1160011""","Female",11.3,14.6,14.9,15.9,15.0
"Putnam School District","=""1160011""","Male",13.2,14.0,12.6,12.9,14.4
"Redding School District","=""1170011""","Female",5.2,6.1,1.2,2.2,2.8
"Redding School District","=""1170011""","Male",5.3,4.8,2.5,3.9,3.2
"Regional School District 01","=""2010012""","Female",7.4,4.5,4.4,16.4,11.3
"Regional School District 01","=""2010012""","Male",6.2,5.0,"*",14.7,9.1
"Regional School District 04","=""2040012""","Female",10.4,10.9,11.0,7.3,5.9
"Regional School District 04","=""2040012""","Male",6.7,9.4,8.9,8.3,7.7
"Regional School District 05","=""2050012""","Female",11.4,13.2,13.1,10.8,2.9
"Regional School District 05","=""2050012""","Male",6.5,8.9,9.3,10.6,2.5
"Regional School District 06","=""2060012""","Female",3.7,4.9,4.1,5.0,4.4
"Regional School District 06","=""2060012""","Male",5.0,6.9,4.8,4.4,5.2
"Regional School District 07","=""2070012""","Female",17.9,6.2,6.6,5.8,4.4
"Regional School District 07","=""2070012""","Male",19.7,7.3,6.0,5.3,4.8
"Regional School District 08","=""2080012""","Female",16.8,17.7,12.6,12.4,6.4
"Regional School District 08","=""2080012""","Male",14.6,17.0,12.3,12.6,7.3
"Regional School District 09","=""2090012""","Female",15.3,14.0,9.8,9.1,9.4
"Regional School District 09","=""2090012""","Male",12.8,12.4,9.9,8.8,9.4
"Regional School District 10","=""2100012""","Female",9.9,6.2,8.8,7.5,6.7
"Regional School District 10","=""2100012""","Male",7.7,4.6,6.0,5.2,5.7
"Regional School District 11","=""2110012""","Female",6.8,9.4,"*",7.4,12.9
"Regional School District 11","=""2110012""","Male",6.4,11.0,8.3,6.9,6.1
"Regional School District 12","=""2120012""","Female",9.2,11.1,7.9,9.3,6.4
"Regional School District 12","=""2120012""","Male",7.6,10.2,6.1,8.1,5.0
"Regional School District 13","=""2130012""","Female",4.0,5.2,4.1,4.9,5.7
"Regional School District 13","=""2130012""","Male",4.8,4.0,4.2,3.5,4.5
"Regional School District 14","=""2140012""","Female",2.6,3.4,7.9,2.5,7.1
"Regional School District 14","=""2140012""","Male",3.8,5.0,7.1,1.5,5.3
"Regional School District 15","=""2150012""","Female",4.5,5.9,4.2,4.5,2.9
"Regional School District 15","=""2150012""","Male",4.6,5.5,4.1,4.4,3.3
"Regional School District 16","=""2160012""","Female",8.2,7.1,5.1,8.4,6.1
"Regional School District 16","=""2160012""","Male",6.7,6.4,4.8,9.2,8.3
"Regional School District 17","=""2170012""","Female",4.6,3.0,4.3,4.4,4.2
"Regional School District 17","=""2170012""","Male",4.5,3.8,4.1,5.6,4.5
"Regional School District 18","=""2180012""","Female",5.5,5.7,7.4,8.4,7.8
"Regional School District 18","=""2180012""","Male",3.9,3.7,4.8,5.7,5.9
"Regional School District 19","=""2190012""","Female",16.9,16.6,18.6,7.6,10.7
"Regional School District 19","=""2190012""","Male",14.2,14.6,13.1,6.2,7.4
"Ridgefield School District","=""1180011""","Female",5.8,7.2,6.5,6.0,4.7
"Ridgefield School District","=""1180011""","Male",4.8,6.1,5.7,5.0,4.4
"Rocky Hill School District","=""1190011""","Female",7.0,8.3,6.7,8.4,9.3
"Rocky Hill School District","=""1190011""","Male",7.7,8.3,6.0,7.0,7.2
"Salem School District","=""1210011""","Female","*",4.6,4.1,4.4,5.9
"Salem School District","=""1210011""","Male",4.9,3.2,4.5,4.7,4.1
"Salisbury School District","=""1220011""","Female",8.0,6.9,6.0,6.3,5.3
"Salisbury School District","=""1220011""","Male",6.4,7.1,"*",7.8,"*"
"Scotland School District","=""1230011""","Female","*","*","*","*","*"
"Scotland School District","=""1230011""","Male","*","*","*","*","*"
"Seymour School District","=""1240011""","Female",6.7,12.6,8.9,5.5,8.5
"Seymour School District","=""1240011""","Male",8.7,10.9,9.2,7.1,8.8
"Sharon School District","=""1250011""","Female",8.0,6.7,"*","*","*"
"Sharon School District","=""1250011""","Male",6.4,"*",0.0,"*",7.8
"Shelton School District","=""1260011""","Female",8.6,15.1,13.6,12.6,13.4
"Shelton School District","=""1260011""","Male",6.0,11.4,10.6,11.4,13.4
"Sherman School District","=""1270011""","Female",5.5,4.8,3.6,6.1,4.0
"Sherman School District","=""1270011""","Male",6.2,9.2,10.2,7.5,7.5
"Side By Side Charter School District","=""2700013""","Female",9.1,8.5,6.5,11.5,"*"
"Side By Side Charter School District","=""2700013""","Male",6.0,8.1,5.8,8.2,"*"
"Simsbury School District","=""1280011""","Female",5.4,7.0,6.5,5.6,5.3
"Simsbury School District","=""1280011""","Male",4.1,5.8,5.8,5.1,4.2
"Somers School District","=""1290011""","Female",13.5,13.9,11.4,13.6,13.0
"Somers School District","=""1290011""","Male",15.4,12.8,8.8,10.0,8.9
"South Windsor School District","=""1320011""","Female",14.6,5.5,3.9,3.4,4.0
"South Windsor School District","=""1320011""","Male",14.2,6.1,3.3,4.0,3.9
"Southington School District","=""1310011""","Female",6.8,6.6,7.0,6.1,6.4
"Southington School District","=""1310011""","Male",7.3,6.9,6.3,5.9,6.2
"Sprague School District","=""1330011""","Female",7.1,8.6,10.8,9.0,6.2
"Sprague School District","=""1330011""","Male",8.7,8.1,6.0,14.1,10.1
"Stafford School District","=""1340011""","Female",7.2,6.8,7.7,8.1,8.2
"Stafford School District","=""1340011""","Male",8.5,7.5,7.2,9.2,7.8
"Stamford Academy District","=""2820013""","Female",0.0,95.0,"*",81.8,100.0
"Stamford Academy District","=""2820013""","Male","*",98.9,"*",90.7,98.7
"Stamford Charter School for Excellence District","=""2960013""","Female","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Male","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Female",9.7,14.6,10.1,14.2,11.9
"Stamford School District","=""1350011""","Male",9.5,14.4,9.8,13.7,11.5
"State Level","=""0000000""","Female",11.0,11.4,10.8,10.6,9.5
"State Level","=""0000000""","Male",11.1,11.6,10.8,10.7,9.7
"Sterling School District","=""1360011""","Female",7.8,3.4,8.8,7.7,7.4
"Sterling School District","=""1360011""","Male",8.4,6.4,5.3,6.4,9.6
"Stonington School District","=""1370011""","Female",16.9,5.7,8.6,7.5,6.4
"Stonington School District","=""1370011""","Male",16.7,6.9,8.9,9.1,6.3
"Stratford School District","=""1380011""","Female",9.7,13.1,12.2,11.5,12.3
"Stratford School District","=""1380011""","Male",9.0,11.8,10.4,9.0,11.4
"Suffield School District","=""1390011""","Female",7.7,6.3,7.3,1.3,6.1
"Suffield School District","=""1390011""","Male",7.5,5.2,6.2,1.1,6.1
"The Bridge Academy District","=""2690013""","Female",4.3,6.6,10.9,7.9,9.7
"The Bridge Academy District","=""2690013""","Male","*","*",5.6,7.4,7.3
"The Gilbert School District","=""9020022""","Female",11.1,15.3,20.2,23.3,4.7
"The Gilbert School District","=""9020022""","Male",14.7,14.6,12.6,23.5,5.1
"Thomaston School District","=""1400011""","Female",5.5,6.0,5.6,6.5,6.6
"Thomaston School District","=""1400011""","Male",6.3,7.4,5.4,7.1,7.5
"Thompson School District","=""1410011""","Female",11.6,8.3,4.9,5.4,7.2
"Thompson School District","=""1410011""","Male",12.1,8.3,6.5,5.7,8.2
"Tolland School District","=""1420011""","Female",5.7,4.6,3.3,4.7,5.3
"Tolland School District","=""1420011""","Male",5.9,6.7,3.5,4.1,4.4
"Torrington School District","=""1430011""","Female",14.1,13.8,13.8,10.4,9.5
"Torrington School District","=""1430011""","Male",14.1,14.0,14.6,11.1,10.0
"Trailblazers Academy District","=""2780013""","Female","*","*",0.0,63.3,19.7
"Trailblazers Academy District","=""2780013""","Male",10.3,"*",0.0,68.0,17.6
"Trumbull School District","=""1440011""","Female",6.4,3.6,2.0,3.7,4.8
"Trumbull School District","=""1440011""","Male",5.7,4.6,2.3,3.2,4.9
"Unified School District #1","=""3360015""","Female","*","*","*","*","*"
"Unified School District #1","=""3360015""","Male",49.3,44.3,22.5,32.5,34.8
"Unified School District #2","=""3470015""","Female",33.9,33.9,"*","*",13.2
